Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
HubcapMineProgram,items,,New,Not Used,Hubcap Mine Firmware,,,,,,,,,,,,,
JunkTurretProgram,items,,New,Not Used,Junk Turret Firmware,,,,,,,,,,,,,
LargeGeneratorProgram,items,,New,Not Used,Large Generator Firmware,,,,,,,,,,,,,
MotionCameraProgram,items,,New,Not Used,Motion Camera Firmware,,,,,,,,,,,,,
NightVisionProgram,items,,New,Not Used,Nightvision Firmware,,,,,,,,,,,,,
ShotgunTurretProgram,items,,New,Not Used,Shotgun Turret Firmware,,,,,,,,,,,,,
SledgeTurretProgram,items,,New,Not Used,Sledge Turret Firmware,,,,,,,,,,,,,
resourceLeather,items,,New,Not Used,Animal Hide,,,,,,,,,,,,,
StunRepulsorProgram,items,,New,Not Used,Stun Repulsor Software Upgrade,,,,,,,,,,,,,
TimedChargeProgram,items,,New,Not Used,Timed Charge Firmware,,,,,,,,,,,,,
BlankProgram,items,,New,Not Used,Blank Firmware Chip,,,,,,,,,,,,,
Buddy5Program,items,,New,Not Used,Buddy-5 Companion Program,,,,,,,,,,,,,
Buddy5ProgramDesc,items,,New,Not Used,Firmware package containing advanced behavioral algorithms for the Buddy-5 service droid. Upload to unlock companion functions such as follow, guard, and fetch.,,,,,,,,,,,
resourceLeather,items,,New,Not Used,Leather,,,,,,,,,,,,,
BarkChips,items,,New,Not Used,Bark Chips,,,,,,,,,,,,,
TanninSolution,items,,New,Not Used,Tannin Solution,,,,,,,,,,,,,
IronAxeHead,items,,New,Not Used,Iron Axe Head,,,,,,,,,,,,,
IronShovelHead,items,,New,Not Used,Iron Shovel Head,,,,,,,,,,,,,
IronPickaxeHead,items,,New,Not Used,Iron Pickaxe Head,,,,,,,,,,,,,
IronHammerHead,items,,New,Not Used,Iron Hammer Head,,,,,,,,,,,,,
SteelAxeHead,items,,New,Not Used,Steel Axe Head,,,,,,,,,,,,,
SteelShovelHead,items,,New,Not Used,Steel Shovel Head,,,,,,,,,,,,,
SteelPickaxeHead,items,,New,Not Used,Steel Pickaxe Head,,,,,,,,,,,,,
MotorcycleFrame,items,,New,Not Used,Motorcycle Frame,,,,,,,,,,,,,
MotorcycleShocksFront,items,,New,Not Used,Motorcycle Shocks Front,,,,,,,,,,,,,
MotorcycleShocksRear,items,,New,Not Used,Motorcycle Shocks Rear,,,,,,,,,,,,,
MotorCycleEngine,items,,New,Not Used,Motorcycle Engine,,,,,,,,,,,,,
CarEngine,items,,New,Not Used,Car Engine,,,,,,,,,,,,,
CarEngineBroken,items,,New,Not Used,Broken Car Engine,,,,,,,,,,,,,
MotorCycleEngineBroken,items,,New,Not Used,Broken Motorcycle Engine,,,,,,,,,,,,,
vehicle4x4TruckAccessoriesExhaust,items,,New,Not Used,4x4 Truck Exhaust Accessories,,,,,,,,,,,,,
vehicle4x4TruckAccessoryFront,items,,New,Not Used,4x4 Truck Front Accessories,,,,,,,,,,,,,
vehicle4x4TruckChassisBackend,items,,New,Not Used,4x4 Truck Chassis Backend,,,,,,,,,,,,,
vehicle4x4TruckChassisFront,items,,New,Not Used,4x4 Truck Chassis Front,,,,,,,,,,,,,
noteDuke01,items,,New,Not Used,Objectives,,,,,,,,,,,,,
noteDuke01Desc,items,,New,Not Used,1) First and foremost you need to survive.\n2) Find survivors and escort them to traders.\n3) Scout the desert biome for Element A.\n4) Find Element B in the snow biome.\n5) Brave the wasteland for advanced tech.,,,,,,,,,,,,,
LeatherSheetT1,items,,New,Not Used,Poor Quality Leather Sheet,,,,,,,,,,,,,
LeatherSheetT2,items,,New,Not Used,Standard Quality Leather Sheet,,,,,,,,,,,,,
LeatherSheetT3,items,,New,Not Used,Good Quality Leather Sheet,,,,,,,,,,,,,
LeatherSheetT4,items,,New,Not Used,High Quality Leather Sheet,,,,,,,,,,,,,
LeatherSheetT5,items,,New,Not Used,Excellent Quality Leather Sheet,,,,,,,,,,,,,
LeatherSheetT6,items,,New,Not Used,Mastercrafted Leather Sheet,,,,,,,,,,,,,
LeatherSheetT1Desc,items,,New,Not Used,This poor quality leather sheet looks ragged and frayed.,,,,,,,,,,,,,
LeatherSheetT2Desc,items,,New,Not Used,This standard quality leather sheet is sturdy and reliable.,,,,,,,,,,,,,
LeatherSheetT3Desc,items,,New,Not Used,This good quality leather sheet is smooth and supple.,,,,,,,,,,,,,
LeatherSheetT4Desc,items,,New,Not Used,This high quality leather sheet is durable and flexible.,,,,,,,,,,,,,
LeatherSheetT5Desc,items,,New,Not Used,This excellent quality leather sheet is flawless and refined.,,,,,,,,,,,,,
LeatherSheetT6Desc,items,,New,Not Used,This mastercrafted leather sheet is of unparalleled quality.,,,,,,,,,,,,,
TraderSuppliesQuestT1-1,items,,New,Not Used,List of Common Items.,,,,,,,,,,,,,
TraderSuppliesQuestDescT1-1,items,,New,Not Used,(Quest)\nThis list of common items and Teir 1 resources.,,,,,,,,,,,,,
TraderSuppliesQuestT1-2,items,,New,Not Used,List of Common Foods.,,,,,,,,,,,,,
TraderSuppliesQuestDescT1-2,items,,New,Not Used,(Quest)\nThis list of common foods and drinks. Teir 1 resources.,,,,,,,,,,,,,
TraderSuppliesQuestT1-3,items,,New,Not Used,List of Common Medical Supplies.,,,,,,,,,,,,,
TraderSuppliesQuestDescT1-3,items,,New,Not Used,(Quest)\nThis list of common medical supplies and Teir 1 resources.,,,,,,,,,,,,,
TraderSuppliesT1-1,items,,New,Not Used,Raw Resources and Common Items,,,,,,,,,,,,,
TraderSuppliesDescT1-1,items,,New,Not Used,Contains common items and raw resources. It can be turned in as part of a quest to traders or opened for the resources.,,,,,,,,,,,,,
TraderSuppliesT1-2,items,,New,Not Used,"Common Foods, Drinks, and Raw Resources",,,,,,,,,,,,,
TraderSuppliesDescT1-2,items,,New,Not Used,"Contains common foods, drinks, and raw resources. It can be turned in as part of a quest to traders or opened for the resources.",,,,,,,,,,,,,
TraderSuppliesT1-3,items,,New,Not Used,Common medications and raw resources,,,,,,,,,,,,,
TraderSuppliesDescT1-2,items,,New,Not Used,Contains raw resources and common medical supplies. It can be turned in as part of a quest to traders or opened for the resources.,,,,,,,,,,,,,
TraderSuppliesCommonItems,items,,New,Not Used,of common items,,,,,,,,,,,,,
TraderSuppliesCommonItemsDesc,items,,New,Not Used,Contains common items. It can be sold to traders as is or be part of a package for trader quests.,,,,,,,,,,,,,
TraderSuppliesCommonResources,items,,New,Not Used,Raw resources,,,,,,,,,,,,,
TraderSuppliesCommonResourcesDesc,items,,New,Not Used,Contains raw resources. It can be sold to traders as is or be part of a package for trader quests.,,,,,,,,,,,,,
TraderSuppliesCommonFoodAndDrink,items,,New,Not Used,Common food and drink,,,,,,,,,,,,,
TraderSuppliesCommonFoodAndDrinkDesc,items,,New,Not Used,This container has food and drink inside. It can be sold to traders as is or be part of a package for trader quests.,,,,,,,,,,,,,
TraderSuppliesCommonMedicalSupplies,items,,New,Not Used,Common medications,,,,,,,,,,,,,
TraderSuppliesCommonMedicalSuppliesDesc,items,,New,Not Used,This container has medical supplies inside. It can be sold to traders as is or be part of a package for trader quests.,,,,,,,,,,,,,
quest_StartingQuest,Quest,Quest Info,,,Rise From The Ashes,,,,,,,,,,,,,
quest_StartingQuestTip1_title,Quest,Quest Info,,,Prepared,,,,,,,,,,,,,
quest_StartingQuestTip1,Quest,Quest Info,,,"Make a bedroll, find food and shelter. We trained you in tracking small animals so get close to the ground and find their tracks. In your pack you will find your survival gear. Open it up and put on the armor and ready your weapon.",,,,,,,,,,,,,
quest_StartingQuest_description,Quest,Quest Info,,,Line 1,,,,,,,,,,,,,
quest_GoToTrader_description,Quest,Quest Info,,,Line 2,,,,,,,,,,,,,
quest_GoToTrader_description3,Quest,Quest Info,,,"We've taken measures to assist you in your mission. Traders have been contacted and are willing to engage in trade with you. They possess resources within their compound that they're reluctantly willing to donate to aid in your survival.\n\nShould you encounter any other survivors during your journey, please ensure their safety and bring them to the trader's compound. They will be provided with shelter, provisions, and, most importantly, a safe passage out of the infested area.",,,,,,,,,,,,,
quest_GoToTrader_description4,Quest,Quest Info,,,Line 5,,,,,,,,,,,,,
quest_StartingQuestTip1_title,Journal Tip,,,,Message from the Safe Zone,,,,,,,,,,,,,
quest_GoToTrader_description3_title,Quest,Quest Info,,,Head to the trader,,,,,,,,,,,,,
resourceWoodT1,items,,New,Not Used,Poor Quality Wood,,,,,,,,,,,,,
resourceWoodT2,items,,New,Not Used,Standard Quality Wood,,,,,,,,,,,,,
resourceWoodT3,items,,New,Not Used,Good Quality Wood,,,,,,,,,,,,,
resourceWoodT4,items,,New,Not Used,High Quality Wood,,,,,,,,,,,,,
resourceWoodT5,items,,New,Not Used,Excellent Quality Wood,,,,,,,,,,,,,
resourceWoodT6,items,,New,Not Used,Mastercrafted Wood,,,,,,,,,,,,,
resourceWoodT1Desc,items,,New,Not Used,These poor quality wood planks is slightly bowed and has many knots.,,,,,,,,,,,,,
resourceWoodT2Desc,items,,New,Not Used,These standard quality wood planks is mostly straight and has few knots.,,,,,,,,,,,,,
resourceWoodT3Desc,items,,New,Not Used,These good quality wood planks are straight and well made.,,,,,,,,,,,,,
resourceWoodT4Desc,items,,New,Not Used,These high quality wood planks very well made and can be used for fine wooden products.,,,,,,,,,,,,,
resourceWoodT5Desc,items,,New,Not Used,These excellent quality wood planks are flawless.,,,,,,,,,,,,,
resourceWoodT6Desc,items,,New,Not Used,These mastercrafted wood panks are of unparalleled quality.,,,,,,,,,,,,,
resourceLowQualityWroughtIron,items,,New,Not Used,Low Quality Wrought Iron,,,,,,,,,,,,,
resourceWroughtIron,items,,New,Not Used,Wrought Iron,,,,,,,,,,,,,
resourceForgedIron,items,,New,Not Used,Forged Iron,,,,,,,,,,,,,
resourceForgedSteel,items,,New,Not Used,Forged Steel,,,,,,,,,,,,,
resourceForgedStainlessSteel,items,,New,Not Used,Stainless Steel,,,,,,,,,,,,,
resourceForgedTungsten,items,,New,Not Used,Forged Tungsten,,,,,,,,,,,,,
resourceLowQualityWroughtIronDesc,items,,New,Not Used,"Low quality wrought iron, suitable for basic applications.",,,,,,,,,,,,,
resourceWroughtIronDesc,items,,New,Not Used,"Standard quality wrought iron, suitable for general purposes.",,,,,,,,,,,,,
resourceForgedIronDesc,items,,New,Not Used,"Well-crafted forged iron, offering durability and strength for various uses.",,,,,,,,,,,,,
resourceForgedSteelDesc,items,,New,Not Used,"High-quality forged steel, known for its robustness and versatility in industrial applications.",,,,,,,,,,,,,
resourceForgedStainlessSteelDesc,items,,New,Not Used,"Premium-grade stainless steel, prized for its corrosion resistance and longevity.",,,,,,,,,,,,,
resourceForgedTungstenDesc,items,,New,Not Used,"Top-tier forged tungsten, renowned for its exceptional hardness and resilience in demanding environments.",,,,,,,,,,,,,
resourceElectricPartsT1,items,,New,Not Used,Poor Quality Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT2,items,,New,Not Used,Standard Quality Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT3,items,,New,Not Used,Good Quality Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT4,items,,New,Not Used,High Quality Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT5,items,,New,Not Used,Excellent Quality Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT6,items,,New,Not Used,Mastercrafted Electric Parts,,,,,,,,,,,,,
resourceElectricPartsT1Desc,items,,New,Not Used,"Low-quality electric parts, prone to defects and reliability issues.",,,,,,,,,,,,,
resourceElectricPartsT2Desc,items,,New,Not Used,"Standard-quality electric parts, suitable for general use with acceptable reliability.",,,,,,,,,,,,,
resourceElectricPartsT3Desc,items,,New,Not Used,"Good-quality electric parts, offering reliable performance and durability for everyday use.",,,,,,,,,,,,,
resourceElectricPartsT4Desc,items,,New,Not Used,"High-quality electric parts, known for their superior performance and longevity in demanding conditions.",,,,,,,,,,,,,
resourceElectricPartsT5Desc,items,,New,Not Used,"Excellent-quality electric parts, virtually flawless and providing top-tier performance and reliability.",,,,,,,,,,,,,
resourceElectricPartsT6Desc,items,,New,Not Used,"Mastercrafted electric parts, meticulously crafted to perfection for unparalleled performance and luxury.",,,,,,,,,,,,,
resourceClothT1,items,,New,Not Used,Poor Quality Cloth,,,,,,,,,,,,,
resourceClothT2,items,,New,Not Used,Standard Quality Cloth,,,,,,,,,,,,,
resourceClothT3,items,,New,Not Used,Good Quality Cloth,,,,,,,,,,,,,
resourceClothT4,items,,New,Not Used,High Quality Cloth,,,,,,,,,,,,,
resourceClothT5,items,,New,Not Used,Excellent Quality Cloth,,,,,,,,,,,,,
resourceClothT6,items,,New,Not Used,Mastercrafted Cloth,,,,,,,,,,,,,
resourceClothT1Desc,items,,New,Not Used,"Low-quality cloth, prone to tears and fading.",,,,,,,,,,,,,
resourceClothT2Desc,items,,New,Not Used,"Standard-quality cloth, suitable for everyday use with moderate durability.",,,,,,,,,,,,,
resourceClothT3Desc,items,,New,Not Used,"Good-quality cloth, offering decent durability and comfort.",,,,,,,,,,,,,
resourceClothT4Desc,items,,New,Not Used,"High-quality cloth, known for its durability and color retention.",,,,,,,,,,,,,
resourceClothT5Desc,items,,New,Not Used,"Excellent-quality cloth, virtually indestructible and retaining its quality for years.",,,,,,,,,,,,,
resourceClothT6Desc,items,,New,Not Used,"Mastercrafted cloth, meticulously woven to perfection for unparalleled comfort and luxury.",,,,,,,,,,,,,
ReagentT1,items,,New,Not Used,Poor Quality Reagent,,,,,,,,,,,,,
ReagentT2,items,,New,Not Used,Standard Quality Reagent,,,,,,,,,,,,,
ReagentT3,items,,New,Not Used,Good Quality Reagent,,,,,,,,,,,,,
ReagentT4,items,,New,Not Used,High Quality Reagent,,,,,,,,,,,,,
ReagentT5,items,,New,Not Used,Excellent Quality Reagent,,,,,,,,,,,,,
ReagentT6,items,,New,Not Used,Mastercrafted Reagent,,,,,,,,,,,,,
ReagentT1Desc,items,,New,Not Used,"Low-quality reagent, may have impurities and limited effectiveness.",,,,,,,,,,,,,
ReagentT2Desc,items,,New,Not Used,"Standard-quality reagent, suitable for general use with acceptable purity and effectiveness.",,,,,,,,,,,,,
ReagentT3Desc,items,,New,Not Used,"Good-quality reagent, offering reliable effectiveness for various applications.",,,,,,,,,,,,,
ReagentT4Desc,items,,New,Not Used,"High-quality reagent, known for its purity and consistent effectiveness in demanding conditions.",,,,,,,,,,,,,
ReagentT5Desc,items,,New,Not Used,"Excellent-quality reagent, highly pure and effective for specialized applications.",,,,,,,,,,,,,
ReagentT6Desc,items,,New,Not Used,"Mastercrafted reagent, meticulously prepared for unparalleled purity and potency.",,,,,,,,,,,,,
resourceMechanicalPartsT1,items,,New,Not Used,Poor Quality Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT2,items,,New,Not Used,Standard Quality Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT3,items,,New,Not Used,Good Quality Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT4,items,,New,Not Used,High Quality Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT5,items,,New,Not Used,Excellent Quality Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT6,items,,New,Not Used,Mastercrafted Mechanical Parts,,,,,,,,,,,,,
resourceMechanicalPartsT1Desc,items,,New,Not Used,"Low-quality mechanical parts, prone to malfunctions and breakages.",,,,,,,,,,,,,
resourceMechanicalPartsT2Desc,items,,New,Not Used,"Standard-quality mechanical parts, suitable for general use with moderate durability.",,,,,,,,,,,,,
resourceMechanicalPartsT3Desc,items,,New,Not Used,"Good-quality mechanical parts, offering reliable performance and durability for everyday use.",,,,,,,,,,,,,
resourceMechanicalPartsT4Desc,items,,New,Not Used,"High-quality mechanical parts, known for their superior performance and longevity in demanding conditions.",,,,,,,,,,,,,
resourceMechanicalPartsT5Desc,items,,New,Not Used,"Excellent-quality mechanical parts, virtually flawless and providing top-tier performance and reliability.",,,,,,,,,,,,,
resourceMechanicalPartsT6Desc,items,,New,Not Used,"Mastercrafted mechanical parts, meticulously crafted to perfection for unparalleled performance and durability.",,,,,,,,,,,,,
plantedAloeT1-1,blocks,Farming,New,Not Used,Poor Quality Aloe Seed,,,,,,,,,,Produces 1 seed and 1 aloe.,,,
plantedAloeT2-1,blocks,Farming,New,Not Used,Standard Quality Aloe Seed,,,,,,,,,,Produces 1 seed and 3 aloe.,,,
plantedAloeT3-1,blocks,Farming,New,Not Used,Good Quality Aloe Seed,,,,,,,,,,Produces 1 seed and 6 aloe.,,,
plantedAloeT4-1,blocks,Farming,New,Not Used,High Quality Aloe Seed,,,,,,,,,,Produces 1 seed and 9 aloe.,,,
plantedAloeT5-1,blocks,Farming,New,Not Used,Excellent Quality Aloe Seed,,,,,,,,,,Produces 1 seed and 12 aloe.,,,
plantedAloeT6-1,blocks,Farming,New,Not Used,Mastercrafted Aloe Seed,,,,,,,,,,Produces 1 seed and 15 aloe. Uses radiation instead of light to grow.,,,
plantedBlueberryT1-1,blocks,Farming,New,Not Used,Poor Quality Blueberry Seed,,,,,,,,,,Produces 1 seed and 1 blueberry.,,,
plantedBlueberryT2-1,blocks,Farming,New,Not Used,Standard Quality Blueberry Seed,,,,,,,,,,Produces 1 seed and 3 blueberries.,,,
plantedBlueberryT3-1,blocks,Farming,New,Not Used,Good Quality Blueberry Seed,,,,,,,,,,Produces 1 seed and 6 blueberries.,,,
plantedBlueberryT4-1,blocks,Farming,New,Not Used,High Quality Blueberry Seed,,,,,,,,,,Produces 1 seed and 9 blueberries.,,,
plantedBlueberryT5-1,blocks,Farming,New,Not Used,Excellent Quality Blueberry Seed,,,,,,,,,,Produces 1 seed and 12 blueberries.,,,
plantedBlueberryT6-1,blocks,Farming,New,Not Used,Mastercrafted Blueberry Seed,,,,,,,,,,Produces 1 seed and 15 blueberries. Uses radiation instead of light to grow.,,,
plantedMushroomT1-1,blocks,Farming,New,Not Used,Poor Quality Mushroom Seed,,,,,,,,,,Produces 1 spore and 1 mushroom.,,,
plantedMushroomT2-1,blocks,Farming,New,Not Used,Standard Quality Mushroom Seed,,,,,,,,,,Produces 1 spore and 3 mushrooms.,,,
plantedMushroomT3-1,blocks,Farming,New,Not Used,Good Quality Mushroom Seed,,,,,,,,,,Produces 1 spore and 6 mushrooms.,,,
plantedMushroomT4-1,blocks,Farming,New,Not Used,High Quality Mushroom Seed,,,,,,,,,,Produces 1 spore and 9 mushrooms.,,,
plantedMushroomT5-1,blocks,Farming,New,Not Used,Excellent Quality Mushroom Seed,,,,,,,,,,Produces 1 spore and 12 mushrooms.,,,
plantedMushroomT6-1,blocks,Farming,New,Not Used,Mastercrafted Mushroom Seed,,,,,,,,,,Produces 1 spore and 15 mushrooms. Requires radiation to grow.,,,
plantedYuccaT1-1,blocks,Farming,New,Not Used,Poor Quality Yucca Seed,,,,,,,,,,Produces 1 seed and 1 yucca.,,,
plantedYuccaT2-1,blocks,Farming,New,Not Used,Standard Quality Yucca Seed,,,,,,,,,,Produces 1 seed and 3 yuccas.,,,
plantedYuccaT3-1,blocks,Farming,New,Not Used,Good Quality Yucca Seed,,,,,,,,,,Produces 1 seed and 6 yuccas.,,,
plantedYuccaT4-1,blocks,Farming,New,Not Used,High Quality Yucca Seed,,,,,,,,,,Produces 1 seed and 9 yuccas.,,,
plantedYuccaT5-1,blocks,Farming,New,Not Used,Excellent Quality Yucca Seed,,,,,,,,,,Produces 1 seed and 12 yuccas.,,,
plantedYuccaT6-1,blocks,Farming,New,Not Used,Mastercrafted Yucca Seed,,,,,,,,,,Produces 1 seed and 15 yuccas. Uses radiation instead of light to grow.,,,
plantedCottonT1-1,blocks,Farming,New,Not Used,Poor Quality Cotton Seed,,,,,,,,,,Produces 1 seed and 1 cotton.,,,
plantedCottonT2-1,blocks,Farming,New,Not Used,Standard Quality Cotton Seed,,,,,,,,,,Produces 1 seed and 3 cottons.,,,
plantedCottonT3-1,blocks,Farming,New,Not Used,Good Quality Cotton Seed,,,,,,,,,,Produces 1 seed and 6 cottons.,,,
plantedCottonT4-1,blocks,Farming,New,Not Used,High Quality Cotton Seed,,,,,,,,,,Produces 1 seed and 9 cottons.,,,
plantedCottonT5-1,blocks,Farming,New,Not Used,Excellent Quality Cotton Seed,,,,,,,,,,Produces 1 seed and 12 cottons.,,,
plantedCottonT6-1,blocks,Farming,New,Not Used,Mastercrafted Cotton Seed,,,,,,,,,,Produces 1 seed and 15 cottons. Uses radiation instead of light to grow.,,,
plantedCoffeeT1-1,blocks,Farming,New,Not Used,Poor Quality Coffee Seed,,,,,,,,,,Produces 1 seed and 1 coffee bean.,,,
plantedCoffeeT2-1,blocks,Farming,New,Not Used,Standard Quality Coffee Seed,,,,,,,,,,Produces 1 seed and 3 coffee beans.,,,
plantedCoffeeT3-1,blocks,Farming,New,Not Used,Good Quality Coffee Seed,,,,,,,,,,Produces 1 seed and 6 coffee beans.,,,
plantedCoffeeT4-1,blocks,Farming,New,Not Used,High Quality Coffee Seed,,,,,,,,,,Produces 1 seed and 9 coffee beans.,,,
plantedCoffeeT5-1,blocks,Farming,New,Not Used,Excellent Quality Coffee Seed,,,,,,,,,,Produces 1 seed and 12 coffee beans.,,,
plantedCoffeeT6-1,blocks,Farming,New,Not Used,Mastercrafted Coffee Seed,,,,,,,,,,Produces 1 seed and 15 coffee beans. Uses radiation instead of light to grow.,,,
plantedGoldenrodT1-1,blocks,Farming,New,Not Used,Poor Quality Goldenrod Seed,,,,,,,,,,Produces 1 seed and 1 goldenrod flower.,,,
plantedGoldenrodT2-1,blocks,Farming,New,Not Used,Standard Quality Goldenrod Seed,,,,,,,,,,Produces 1 seed and 3 goldenrod flowers.,,,
plantedGoldenrodT3-1,blocks,Farming,New,Not Used,Good Quality Goldenrod Seed,,,,,,,,,,Produces 1 seed and 6 goldenrod flowers.,,,
plantedGoldenrodT4-1,blocks,Farming,New,Not Used,High Quality Goldenrod Seed,,,,,,,,,,Produces 1 seed and 9 goldenrod flowers.,,,
plantedGoldenrodT5-1,blocks,Farming,New,Not Used,Excellent Quality Goldenrod Seed,,,,,,,,,,Produces 1 seed and 12 goldenrod flowers.,,,
plantedGoldenrodT6-1,blocks,Farming,New,Not Used,Mastercrafted Goldenrod Seed,,,,,,,,,,Produces 1 seed and 15 goldenrod flowers. Uses radiation instead of light to grow.,,,
plantedPotatoT1-1,blocks,Farming,New,Not Used,Poor Quality Potato Seed,,,,,,,,,,Produces 1 seed and 1 potato.,,,
plantedPotatoT2-1,blocks,Farming,New,Not Used,Standard Quality Potato Seed,,,,,,,,,,Produces 1 seed and 3 potatoes.,,,
plantedPotatoT3-1,blocks,Farming,New,Not Used,Good Quality Potato Seed,,,,,,,,,,Produces 1 seed and 6 potatoes.,,,
plantedPotatoT4-1,blocks,Farming,New,Not Used,High Quality Potato Seed,,,,,,,,,,Produces 1 seed and 9 potatoes.,,,
plantedPotatoT5-1,blocks,Farming,New,Not Used,Excellent Quality Potato Seed,,,,,,,,,,Produces 1 seed and 12 potatoes.,,,
plantedPotatoT6-1,blocks,Farming,New,Not Used,Mastercrafted Potato Seed,,,,,,,,,,Produces 1 seed and 15 potatoes. Uses radiation instead of light to grow.,,,
plantedChrysanthemumT1-1,blocks,Farming,New,Not Used,Poor Quality Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 1 chrysanthemum.,,,
plantedChrysanthemumT2-1,blocks,Farming,New,Not Used,Standard Quality Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 3 chrysanthemums.,,,
plantedChrysanthemumT3-1,blocks,Farming,New,Not Used,Good Quality Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 6 chrysanthemums.,,,
plantedChrysanthemumT4-1,blocks,Farming,New,Not Used,High Quality Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 9 chrysanthemums.,,,
plantedChrysanthemumT5-1,blocks,Farming,New,Not Used,Excellent Quality Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 12 chrysanthemums.,,,
plantedChrysanthemumT6-1,blocks,Farming,New,Not Used,Mastercrafted Chrysanthemum Seed,,,,,,,,,,Produces 1 seed and 15 chrysanthemums. Uses radiation instead of light to grow.,,,
plantedCornT1-1,blocks,Farming,New,Not Used,Poor Quality Corn Seed,,,,,,,,,,Produces 1 seed and 1 ear of corn.,,,
plantedCornT2-1,blocks,Farming,New,Not Used,Standard Quality Corn Seed,,,,,,,,,,Produces 1 seed and 3 ears of corn.,,,
plantedCornT3-1,blocks,Farming,New,Not Used,Good Quality Corn Seed,,,,,,,,,,Produces 1 seed and 6 ears of corn.,,,
plantedCornT4-1,blocks,Farming,New,Not Used,High Quality Corn Seed,,,,,,,,,,Produces 1 seed and 9 ears of corn.,,,
plantedCornT5-1,blocks,Farming,New,Not Used,Excellent Quality Corn Seed,,,,,,,,,,Produces 1 seed and 12 ears of corn.,,,
plantedCornT6-1,blocks,Farming,New,Not Used,Mastercrafted Corn Seed,,,,,,,,,,Produces 1 seed and 15 ears of corn. Uses radiation instead of light to grow.,,,
plantedGraceCornT1-1,blocks,Farming,New,Not Used,Poor Quality GraceCorn Seed,,,,,,,,,,Produces 1 seed and 1 Super Corn.,,,
plantedGraceCornT2-1,blocks,Farming,New,Not Used,Standard Quality GraceCorn Seed,,,,,,,,,,Produces 1 seed and 3 Super Corn.,,,
plantedGraceCornT3-1,blocks,Farming,New,Not Used,Good Quality GraceCorn Seed,,,,,,,,,,Produces 1 seed and 6 Super Corn.,,,
plantedGraceCornT4-1,blocks,Farming,New,Not Used,High Quality GraceCorn Seed,,,,,,,,,,Produces 1 seed and 9 Super Corn.,,,
